Laufnr	TaktNr	StückP	HöheP	Schläge	SchlTyp	NKorr	KKorr	Dauer	Länge	End	KlavTon	Frequency     	DeltaFT
1	1	0	130	3	4	27	0	240	240	240	36	440	0.062689
2	1	0	120	3	4	29	1	240	240	240	40	554.3652	0.078983
3	1	0	95	3	4	34	0	240	240	240	48	879.9999	0.125378
5	1	360	120	3	4	29	1	120	120	480	40	554.3652	0.078983
6	1	360	110	3	4	31	0	120	120	480	43	659.2551	0.093927
7	1	480	120	3	4	29	1	120	120	720	40	554.3652	0.078983
8	1	480	110	3	4	31	0	120	120	720	43	659.2551	0.093927
10	1	840	120	3	4	29	1	60	60	960	40	554.3652	0.078983
11	1	840	110	3	4	31	0	60	60	960	43	659.2551	0.093927
12	1	960	115	3	4	30	0	60	60	1080	41	587.3295	0.083680
13	1	960	105	3	4	32	1	60	60	1080	45	739.9888	0.105430
14	1	1080	115	3	4	30	0	60	60	1200	41	587.3295	0.083680
15	1	1080	100	3	4	33	1	60	60	1200	47	830.6093	0.118341
16	1	1200	115	3	4	30	0	60	60	1320	41	587.3295	0.083680
17	1	1200	95	3	4	34	0	60	60	1320	48	879.9999	0.125378
18	1	1320	115	3	4	30	0	60	60	1440	41	587.3295	0.083680
19	1	1320	90	3	4	35	0	60	60	1440	50	987.7666	0.140732
20	1	0	260	3	4	13	0	240	240	240	12	110	0.015672
21	1	0	225	3	4	20	0	240	240	240	24	220	0.031344
23	1	360	225	3	4	20	0	120	120	480	24	220	0.031344
24	1	360	205	3	4	24	0	120	120	480	31	329.6275	0.046963
25	1	360	190	3	4	27	0	120	120	480	36	440	0.062689
26	1	480	225	3	4	20	0	120	120	720	24	220	0.031344
27	1	480	205	3	4	24	0	120	120	720	31	329.6275	0.046963
28	1	480	190	3	4	27	0	120	120	720	36	440	0.062689
30	1	840	225	3	4	20	0	60	60	960	24	220	0.031344
31	1	840	205	3	4	24	0	60	60	960	31	329.6275	0.046963
32	1	840	190	3	4	27	0	60	60	960	36	440	0.062689
33	1	960	225	3	4	20	0	60	60	1080	24	220	0.031344
34	1	960	205	3	4	24	0	60	60	1080	31	329.6275	0.046963
35	1	960	185	3	4	28	0	60	60	1080	38	493.8833	0.070366
36	1	1080	225	3	4	20	0	60	60	1200	24	220	0.031344
37	1	1080	205	3	4	24	0	60	60	1200	31	329.6275	0.046963
38	1	1080	185	3	4	28	0	60	60	1200	38	493.8833	0.070366
39	1	1200	225	3	4	20	0	60	60	1320	24	220	0.031344
40	1	1200	205	3	4	24	0	60	60	1320	31	329.6275	0.046963
41	1	1200	185	3	4	28	0	60	60	1320	38	493.8833	0.070366
42	1	1320	225	3	4	20	0	60	60	1440	24	220	0.031344
43	1	1320	205	3	4	24	0	60	60	1440	31	329.6275	0.046963
44	1	1320	185	3	4	28	0	60	60	1440	38	493.8833	0.070366
47	2	1440	120	3	4	29	1	360	360	1800	40	554.3652	0.078983
48	2	1440	85	3	4	36	1	360	360	1800	52	1108.730	0.157967
49	2	1800	120	3	4	29	1	120	120	1920	40	554.3652	0.078983
50	2	1800	95	3	4	34	0	120	120	1920	48	879.9999	0.125378
51	2	1920	120	3	4	29	1	240	240	2160	40	554.3652	0.078983
52	2	1920	95	3	4	34	0	240	240	2160	48	879.9999	0.125378
55	2	1440	225	3	4	20	0	360	360	1800	24	220	0.031344
56	2	1440	205	3	4	24	0	360	360	1800	31	329.6275	0.046963
57	2	1440	190	3	4	27	0	360	360	1800	36	440	0.062689
58	2	1800	225	3	4	20	0	120	120	1920	24	220	0.031344
59	2	1800	205	3	4	24	0	120	120	1920	31	329.6275	0.046963
60	2	1800	190	3	4	27	0	120	120	1920	36	440	0.062689
61	2	1920	225	3	4	20	0	240	240	2160	24	220	0.031344
62	2	1920	205	3	4	24	0	240	240	2160	31	329.6275	0.046963
63	2	1920	190	3	4	27	0	240	240	2160	36	440	0.062689
64	2	2160	195	3	4	26	1	80	80	2240	35	415.3046	0.059170
65	2	2240	190	3	4	27	0	80	80	2320	36	440	0.062689
66	2	2320	185	3	4	28	0	80	80	2400	38	493.8833	0.070366
67	2	2400	190	3	4	27	0	120	120	2640	36	440	0.062689
68	2	2640	205	3	4	24	0	120	120	2880	31	329.6275	0.046963
71	2	2160	230	3	4	19	1	80	80	2240	23	207.6523	0.029585
72	2	2240	225	3	4	20	0	80	80	2320	24	220	0.031344
73	2	2320	220	3	4	21	0	80	80	2400	26	246.9416	0.035183
74	2	2400	225	3	4	20	0	120	120	2640	24	220	0.031344
75	2	2640	240	3	4	17	0	240	240	2880	19	164.8137	0.023481
76	3	2880	120	3	4	29	1	240	240	3120	40	554.3652	0.078983
77	3	2880	85	3	4	36	1	240	240	3120	52	1108.730	0.157967
79	3	3240	120	3	4	29	1	120	120	3360	40	554.3652	0.078983
80	3	3240	95	3	4	34	0	120	120	3360	48	879.9999	0.125378
81	3	3360	120	3	4	29	1	120	120	3600	40	554.3652	0.078983
82	3	3360	95	3	4	34	0	120	120	3600	48	879.9999	0.125378
84	3	3720	120	3	4	29	1	60	60	3840	40	554.3652	0.078983
85	3	3720	100	3	4	33	1	60	60	3840	47	830.6093	0.118341
86	3	3840	120	3	4	29	1	60	60	3960	40	554.3652	0.078983
87	3	3840	95	3	4	34	0	60	60	3960	48	879.9999	0.125378
88	3	3960	120	3	4	29	1	60	60	4080	40	554.3652	0.078983
89	3	3960	95	3	4	34	0	60	60	4080	48	879.9999	0.125378
90	3	3960	90	3	4	35	0	60	60	4080	50	987.7666	0.140732
91	3	4080	120	3	4	29	1	60	60	4200	40	554.3652	0.078983
92	3	4080	95	3	4	34	0	60	60	4200	48	879.9999	0.125378
93	3	4080	85	3	4	36	1	60	60	4200	52	1108.730	0.157967
94	3	4200	115	3	4	30	0	60	60	4320	41	587.3295	0.083680
95	3	4200	95	3	4	34	0	60	60	4320	48	879.9999	0.125378
96	3	4200	80	3	4	37	0	60	60	4320	53	1174.659	0.167360
97	3	2880	260	3	4	13	0	240	240	3120	12	110	0.015672
98	3	2880	225	3	4	20	0	240	240	3120	24	220	0.031344
100	3	3240	225	3	4	20	0	120	120	3360	24	220	0.031344
101	3	3240	205	3	4	24	0	120	120	3360	31	329.6275	0.046963
102	3	3240	190	3	4	27	0	120	120	3360	36	440	0.062689
103	3	3360	225	3	4	20	0	120	120	3600	24	220	0.031344
104	3	3360	205	3	4	24	0	120	120	3600	31	329.6275	0.046963
105	3	3360	190	3	4	27	0	120	120	3600	36	440	0.062689
107	3	3720	225	3	4	20	0	60	60	3840	24	220	0.031344
108	3	3720	205	3	4	24	0	60	60	3840	31	329.6275	0.046963
109	3	3720	190	3	4	27	0	60	60	3840	36	440	0.062689
110	3	3840	225	3	4	20	0	60	60	3960	24	220	0.031344
111	3	3840	205	3	4	24	0	60	60	3960	31	329.6275	0.046963
112	3	3840	190	3	4	27	0	60	60	3960	36	440	0.062689
113	3	3960	225	3	4	20	0	60	60	4080	24	220	0.031344
114	3	3960	205	3	4	24	0	60	60	4080	31	329.6275	0.046963
115	3	3960	190	3	4	27	0	60	60	4080	36	440	0.062689
116	3	4080	225	3	4	20	0	60	60	4200	24	220	0.031344
117	3	4080	205	3	4	24	0	60	60	4200	31	329.6275	0.046963
118	3	4080	190	3	4	27	0	60	60	4200	36	440	0.062689
119	3	4200	225	3	4	20	0	60	60	4320	24	220	0.031344
120	3	4200	205	3	4	24	0	60	60	4320	31	329.6275	0.046963
121	3	4200	185	3	4	28	0	60	60	4320	38	493.8833	0.070366
124	4	4320	115	3	4	30	1	360	360	4680	42	622.2539	0.088656
125	4	4320	95	3	4	34	0	360	360	4680	48	879.9999	0.125378
126	4	4320	70	3	4	39	1	360	360	4680	57	1479.977	0.210861
127	4	4680	110	3	4	31	0	120	120	4800	43	659.2551	0.093927
128	4	4680	95	3	4	34	0	120	120	4800	48	879.9999	0.125378
129	4	4680	75	3	4	38	0	120	120	4800	55	1318.510	0.187855
130	4	4800	110	3	4	31	0	240	240	5040	43	659.2551	0.093927
131	4	4800	95	3	4	34	0	240	240	5040	48	879.9999	0.125378
132	4	4800	75	3	4	38	0	240	240	5040	55	1318.510	0.187855
135	4	4320	225	3	4	20	0	360	360	4680	24	220	0.031344
136	4	4320	210	3	4	23	1	360	360	4680	30	311.1269	0.044328
137	4	4320	200	3	4	25	1	360	360	4680	33	369.9944	0.052715
138	4	4320	180	3	4	29	0	360	360	4680	39	523.2511	0.074550
139	4	4680	205	3	4	24	0	120	120	4800	31	329.6275	0.046963
140	4	4680	190	3	4	27	0	120	120	4800	36	440	0.062689
141	4	4680	180	3	4	29	1	120	120	4800	40	554.3652	0.078983
142	4	4800	205	3	4	24	0	120	120	5040	31	329.6275	0.046963
143	4	4800	190	3	4	27	0	120	120	5040	36	440	0.062689
144	4	4800	180	3	4	29	1	120	120	5040	40	554.3652	0.078983
145	4	5040	195	3	4	26	1	80	80	5120	35	415.3046	0.059170
146	4	5120	190	3	4	27	0	80	80	5200	36	440	0.062689
147	4	5200	185	3	4	28	-2	80	80	5280	38	493.8833	0.070366
148	4	5280	190	3	4	27	0	240	240	5520	36	440	0.062689
149	4	5520	205	3	4	24	0	240	240	5760	31	329.6275	0.046963
152	4	5040	230	3	4	19	1	80	80	5120	23	207.6523	0.029585
153	4	5120	225	3	4	20	0	40	40	5200	24	220	0.031344
154	4	5200	220	3	4	21	-2	80	80	5280	26	246.9416	0.035183
155	4	5280	225	3	4	20	0	120	120	5520	24	220	0.031344
156	4	5520	240	3	4	17	0	120	120	5760	19	164.8137	0.023481
157	5	5760	85	3	4	36	1	240	240	6000	52	1108.730	0.157967
158	5	5760	70	3	4	39	0	240	240	6000	56	1396.912	0.199026
159	5	5760	50	3	4	43	1	240	240	6000	64	2217.461	0.315934
160	5	6000	100	3	4	33	1	80	80	6080	47	830.6093	0.118341
161	5	6000	85	3	4	36	1	80	80	6080	52	1108.730	0.157967
162	5	6000	65	3	4	40	1	80	80	6080	59	1661.218	0.236683
163	5	6080	100	3	4	33	1	80	80	6160	47	830.6093	0.118341
164	5	6080	85	3	4	36	1	80	80	6160	52	1108.730	0.157967
165	5	6080	65	3	4	40	1	80	80	6160	59	1661.218	0.236683
166	5	6160	100	3	4	33	1	80	80	6240	47	830.6093	0.118341
167	5	6160	85	3	4	36	1	80	80	6240	52	1108.730	0.157967
168	5	6160	65	3	4	40	1	80	80	6240	59	1661.218	0.236683
169	5	6240	100	3	4	33	1	120	120	6480	47	830.6093	0.118341
170	5	6240	85	3	4	36	1	120	120	6480	52	1108.730	0.157967
171	5	6240	65	3	4	40	1	120	120	6480	59	1661.218	0.236683
172	5	6480	100	3	4	33	1	120	120	6720	47	830.6093	0.118341
173	5	6480	85	3	4	36	1	120	120	6720	52	1108.730	0.157967
174	5	6480	65	3	4	40	1	120	120	6720	59	1661.218	0.236683
175	5	6720	95	3	4	34	1	60	60	6840	49	932.3275	0.132834
176	5	6720	80	3	4	37	1	60	60	6840	54	1244.507	0.177312
177	5	6720	60	3	4	41	1	60	60	6840	61	1864.655	0.265668
178	5	6840	85	3	4	36	0	60	60	6960	51	1046.502	0.149101
179	5	6840	50	3	4	43	0	60	60	6960	63	2093.004	0.298202
180	5	6960	85	3	4	36	1	60	60	7080	52	1108.730	0.157967
181	5	6960	65	3	4	40	1	60	60	7080	59	1661.218	0.236683
182	5	6960	50	3	4	43	1	60	60	7080	64	2217.461	0.315934
183	5	7080	80	3	4	37	1	60	60	7200	54	1244.507	0.177312
184	5	7080	45	3	4	44	1	60	60	7200	66	2489.015	0.354624
185	5	5760	265	3	4	12	1	240	240	6000	11	103.8261	0.014792
186	5	5760	230	3	4	19	1	240	240	6000	23	207.6523	0.029585
187	5	6000	200	3	4	25	0	80	80	6080	32	349.2282	0.049756
188	5	6000	195	3	4	26	1	80	80	6080	35	415.3046	0.059170
189	5	6000	180	3	4	29	1	80	80	6080	40	554.3652	0.078983
190	5	6000	165	3	4	32	0	80	80	6080	44	698.4564	0.099513
191	5	6080	200	3	4	25	0	80	80	6160	32	349.2282	0.049756
192	5	6080	195	3	4	26	1	80	80	6160	35	415.3046	0.059170
193	5	6080	180	3	4	29	1	80	80	6160	40	554.3652	0.078983
194	5	6080	165	3	4	32	0	80	80	6160	44	698.4564	0.099513
195	5	6160	200	3	4	25	0	80	80	6240	32	349.2282	0.049756
196	5	6160	195	3	4	26	1	80	80	6240	35	415.3046	0.059170
197	5	6160	180	3	4	29	1	80	80	6240	40	554.3652	0.078983
198	5	6160	165	3	4	32	0	80	80	6240	44	698.4564	0.099513
199	5	6240	200	3	4	25	0	240	240	6480	32	349.2282	0.049756
200	5	6240	195	3	4	26	1	240	240	6480	35	415.3046	0.059170
201	5	6240	180	3	4	29	1	240	240	6480	40	554.3652	0.078983
202	5	6240	165	3	4	32	0	240	240	6480	44	698.4564	0.099513
203	5	6480	200	3	4	25	0	120	120	6720	32	349.2282	0.049756
204	5	6480	195	3	4	26	1	120	120	6720	35	415.3046	0.059170
205	5	6480	180	3	4	29	1	120	120	6720	40	554.3652	0.078983
206	5	6480	165	3	4	32	0	120	120	6720	44	698.4564	0.099513
207	5	6720	200	3	4	25	1	120	120	6960	33	369.9944	0.052715
208	5	6720	195	3	4	26	1	120	120	6960	35	415.3046	0.059170
209	5	6720	180	3	4	29	0	120	120	6960	39	523.2511	0.074550
210	5	6720	175	3	4	30	1	120	120	6960	42	622.2539	0.088656
211	5	6960	265	3	4	12	1	240	240	7200	11	103.8261	0.014792
212	5	6960	230	3	4	19	1	240	240	7200	23	207.6523	0.029585
215	6	7200	70	3	4	39	0	360	360	7560	56	1396.912	0.199026
216	6	7200	50	3	4	43	1	360	360	7560	64	2217.461	0.315934
217	6	7200	35	3	4	46	0	360	360	7560	68	2793.825	0.398052
218	6	7560	85	3	4	36	1	120	120	7680	52	1108.730	0.157967
219	6	7560	50	3	4	43	1	120	120	7680	64	2217.461	0.315934
220	6	7680	85	3	4	36	1	120	120	7920	52	1108.730	0.157967
221	6	7680	50	3	4	43	1	120	120	7920	64	2217.461	0.315934
222	6	7920	85	3	4	36	1	60	60	8040	52	1108.730	0.157967
223	6	7920	50	3	4	43	1	60	60	8040	64	2217.461	0.315934
224	6	8040	85	3	4	36	1	60	60	8160	52	1108.730	0.157967
225	6	8040	50	3	4	43	1	60	60	8160	64	2217.461	0.315934
226	6	8160	85	3	4	36	1	60	60	8280	52	1108.730	0.157967
227	6	8160	50	3	4	43	1	60	60	8280	64	2217.461	0.315934
228	6	8280	85	3	4	36	1	60	60	8400	52	1108.730	0.157967
229	6	8280	50	3	4	43	1	60	60	8400	64	2217.461	0.315934
230	6	8400	85	3	4	36	1	60	60	8520	52	1108.730	0.157967
231	6	8400	50	3	4	43	1	60	60	8520	64	2217.461	0.315934
232	6	8520	85	3	4	36	1	60	60	8640	52	1108.730	0.157967
233	6	8520	50	3	4	43	1	60	60	8640	64	2217.461	0.315934
234	6	7200	285	3	4	8	1	360	360	7560	4	69.29565	0.009872
235	6	7200	250	3	4	15	1	360	360	7560	16	138.5913	0.019745
236	6	7560	215	3	4	22	1	120	120	7680	28	277.1826	0.039491
237	6	7560	180	3	4	29	1	120	120	7680	40	554.3652	0.078983
238	6	7680	215	3	4	22	1	120	120	7920	28	277.1826	0.039491
239	6	7680	180	3	4	29	1	120	120	7920	40	554.3652	0.078983
240	6	7920	215	3	4	22	1	60	60	8040	28	277.1826	0.039491
241	6	7920	180	3	4	29	1	60	60	8040	40	554.3652	0.078983
242	6	8040	215	3	4	22	1	60	60	8160	28	277.1826	0.039491
243	6	8040	180	3	4	29	1	60	60	8160	40	554.3652	0.078983
244	6	8160	215	3	4	22	1	60	60	8280	28	277.1826	0.039491
245	6	8160	180	3	4	29	1	60	60	8280	40	554.3652	0.078983
246	6	8280	215	3	4	22	1	60	60	8400	28	277.1826	0.039491
247	6	8280	180	3	4	29	1	60	60	8400	40	554.3652	0.078983
248	6	8400	215	3	4	22	1	60	60	8520	28	277.1826	0.039491
249	6	8400	180	3	4	29	1	60	60	8520	40	554.3652	0.078983
250	6	8520	215	3	4	22	1	60	60	8640	28	277.1826	0.039491
251	6	8520	180	3	4	29	1	60	60	8640	40	554.3652	0.078983
254	7	8640	85	3	4	36	1	240	240	8880	52	1108.730	0.157967
255	7	8640	50	3	4	43	1	240	240	8880	64	2217.461	0.315934
256	7	8880	90	3	4	35	0	180	180	9060	50	987.7666	0.140732
257	7	8880	70	3	4	39	1	180	180	9060	57	1479.977	0.210861
258	7	8880	55	3	4	42	0	180	180	9060	62	1975.533	0.281465
259	7	9060	90	3	4	35	0	60	60	9120	50	987.7666	0.140732
260	7	9060	70	3	4	39	1	60	60	9120	57	1479.977	0.210861
261	7	9060	55	3	4	42	0	60	60	9120	62	1975.533	0.281465
262	7	9120	90	3	4	35	0	240	240	9360	50	987.7666	0.140732
263	7	9120	70	3	4	39	1	240	240	9360	57	1479.977	0.210861
264	7	9120	55	3	4	42	0	240	240	9360	62	1975.533	0.281465
265	7	9360	85	3	4	36	1	240	240	9600	52	1108.730	0.157967
266	7	9360	50	3	4	43	1	240	240	9600	64	2217.461	0.315934
267	7	9600	75	3	4	38	0	240	240	9840	55	1318.510	0.187855
268	7	9600	60	3	4	41	0	240	240	9840	60	1760	0.250757
269	7	9600	40	3	4	45	0	240	240	9840	67	2637.020	0.375711
270	7	9840	80	3	4	37	0	120	120	9960	53	1174.659	0.167360
271	7	9840	45	3	4	44	0	120	120	9960	65	2349.318	0.334721
272	7	9960	85	3	4	36	1	120	120	10080	52	1108.730	0.157967
273	7	9960	50	3	4	43	1	120	120	10080	64	2217.461	0.315934
274	7	8640	215	3	4	22	1	120	120	8880	28	277.1826	0.039491
275	7	8640	180	3	4	29	1	120	120	8880	40	554.3652	0.078983
276	7	8880	210	3	4	23	0	180	180	9060	29	293.6647	0.041840
277	7	8880	200	3	4	25	1	180	180	9060	33	369.9944	0.052715
278	7	8880	185	3	4	28	0	180	180	9060	38	493.8833	0.070366
279	7	9060	210	3	4	23	0	60	60	9120	29	293.6647	0.041840
280	7	9060	200	3	4	25	1	60	60	9120	33	369.9944	0.052715
281	7	9060	185	3	4	28	0	60	60	9120	38	493.8833	0.070366
282	7	9120	210	3	4	23	0	240	240	9360	29	293.6647	0.041840
283	7	9120	200	3	4	25	1	240	240	9360	33	369.9944	0.052715
284	7	9120	185	3	4	28	0	240	240	9360	38	493.8833	0.070366
285	7	9360	205	3	4	24	0	240	240	9600	31	329.6275	0.046963
286	7	9360	195	3	4	26	1	240	240	9600	35	415.3046	0.059170
287	7	9360	180	3	4	29	1	240	240	9600	40	554.3652	0.078983
288	7	9600	170	3	4	31	0	240	240	9840	43	659.2551	0.093927
289	7	9840	175	3	4	30	0	240	240	10080	41	587.3295	0.083680
291	7	9600	200	3	4	25	1	480	480	10080	33	369.9944	0.052715
292	7	9600	190	3	4	27	0	480	480	10080	36	440	0.062689
293	8	10080	90	3	4	35	0	120	120	10320	50	987.7666	0.140732
294	8	10080	55	3	4	42	0	120	120	10320	62	1975.533	0.281465
295	8	10320	90	3	4	35	0	180	180	10500	50	987.7666	0.140732
296	8	10320	75	3	4	38	0	180	180	10500	55	1318.510	0.187855
297	8	10320	55	3	4	42	0	180	180	10500	62	1975.533	0.281465
298	8	10500	85	3	4	36	1	60	60	10560	52	1108.730	0.157967
299	8	10500	50	3	4	43	1	60	60	10560	64	2217.461	0.315934
300	8	10560	90	3	4	35	0	480	480	11040	50	987.7666	0.140732
301	8	10560	75	3	4	38	0	480	480	11040	55	1318.510	0.187855
302	8	10560	55	3	4	42	0	480	480	11040	62	1975.533	0.281465
303	8	11040	95	3	4	34	0	240	240	11280	48	879.9999	0.125378
304	8	11040	60	3	4	41	0	240	240	11280	60	1760	0.250757
306	8	10080	205	3	4	24	0	120	120	10320	31	329.6275	0.046963
307	8	10080	195	3	4	26	1	120	120	10320	35	415.3046	0.059170
308	8	10080	175	3	4	30	0	120	120	10320	41	587.3295	0.083680
309	8	10320	205	3	4	24	0	120	120	10560	31	329.6275	0.046963
310	8	10320	195	3	4	26	1	120	120	10560	35	415.3046	0.059170
311	8	10320	175	3	4	30	0	120	120	10560	41	587.3295	0.083680
312	8	10320	170	3	4	31	0	120	120	10560	43	659.2551	0.093927
313	8	10560	205	3	4	24	0	480	480	11040	31	329.6275	0.046963
314	8	10560	195	3	4	26	1	480	480	11040	35	415.3046	0.059170
315	8	10560	175	3	4	30	0	480	480	11040	41	587.3295	0.083680
316	8	10560	170	3	4	31	0	480	480	11040	43	659.2551	0.093927
317	8	11040	190	3	4	27	0	240	240	11280	36	440	0.062689
318	8	11040	180	3	4	29	1	240	240	11280	40	554.3652	0.078983
319	8	11040	170	3	4	31	0	240	240	11280	43	659.2551	0.093927
325	9	11520	95	3	4	34	0	240	240	11760	48	879.9999	0.125378
326	9	11520	90	3	4	35	0	240	240	11760	50	987.7666	0.140732
327	9	11520	80	3	4	37	1	240	240	11760	54	1244.507	0.177312
328	9	11520	70	3	4	39	1	240	240	11760	57	1479.977	0.210861
329	9	11520	55	3	4	42	0	240	240	11760	62	1975.533	0.281465
331	9	11880	95	3	4	34	0	120	120	12000	48	879.9999	0.125378
332	9	11880	90	3	4	35	0	120	120	12000	50	987.7666	0.140732
333	9	11880	80	3	4	37	1	120	120	12000	54	1244.507	0.177312
334	9	11880	70	3	4	39	1	120	120	12000	57	1479.977	0.210861
335	9	12000	95	3	4	34	0	240	240	12240	48	879.9999	0.125378
336	9	12000	90	3	4	35	0	240	240	12240	50	987.7666	0.140732
337	9	12000	80	3	4	37	1	240	240	12240	54	1244.507	0.177312
338	9	12000	70	3	4	39	1	240	240	12240	57	1479.977	0.210861
341	9	12720	100	3	4	33	1	120	120	12960	47	830.6093	0.118341
342	9	12720	75	3	4	38	0	120	120	12960	55	1318.510	0.187855
343	9	12720	65	3	4	40	1	120	120	12960	59	1661.218	0.236683
344	9	11520	255	3	4	14	0	240	240	11760	14	123.4708	0.017591
345	9	11520	220	3	4	21	0	240	240	11760	26	246.9416	0.035183
347	9	11880	220	3	4	21	0	120	120	12000	26	246.9416	0.035183
348	9	11880	185	3	4	28	0	120	120	12000	38	493.8833	0.070366
349	9	12000	220	3	4	21	0	120	120	12240	26	246.9416	0.035183
350	9	12000	185	3	4	28	0	120	120	12240	38	493.8833	0.070366
351	9	12240	190	3	4	27	1	80	80	12320	37	466.1637	0.066417
352	9	12320	185	3	4	28	0	80	80	12400	38	493.8833	0.070366
353	9	12400	180	3	4	29	1	80	80	12480	40	554.3652	0.078983
354	9	12480	185	3	4	28	0	120	120	12720	38	493.8833	0.070366
355	9	12720	240	3	4	17	0	120	120	12960	19	164.8137	0.023481
356	9	12720	205	3	4	24	0	120	120	12960	31	329.6275	0.046963
361	9	12240	225	3	4	20	1	80	80	12320	25	233.0818	0.033208
362	9	12320	220	3	4	21	0	80	80	12400	26	246.9416	0.035183
363	9	12400	215	3	4	22	1	80	80	12480	28	277.1826	0.039491
364	9	12480	220	3	4	21	0	240	240	12720	26	246.9416	0.035183
366	10	12960	95	3	4	34	0	240	240	13200	48	879.9999	0.125378
367	10	12960	90	3	4	35	0	240	240	13200	50	987.7666	0.140732
368	10	12960	80	3	4	37	1	240	240	13200	54	1244.507	0.177312
369	10	12960	70	3	4	39	1	240	240	13200	57	1479.977	0.210861
370	10	12960	55	3	4	42	0	240	240	13200	62	1975.533	0.281465
371	10	13200	95	3	4	34	0	80	80	13280	48	879.9999	0.125378
372	10	13200	90	3	4	35	0	80	80	13280	50	987.7666	0.140732
373	10	13200	80	3	4	37	1	80	80	13280	54	1244.507	0.177312
374	10	13200	70	3	4	39	1	80	80	13280	57	1479.977	0.210861
375	10	13280	95	3	4	34	0	80	80	13360	48	879.9999	0.125378
376	10	13280	90	3	4	35	0	80	80	13360	50	987.7666	0.140732
377	10	13280	80	3	4	37	1	80	80	13360	54	1244.507	0.177312
378	10	13280	70	3	4	39	1	80	80	13360	57	1479.977	0.210861
379	10	13360	95	3	4	34	0	80	80	13440	48	879.9999	0.125378
380	10	13360	90	3	4	35	0	80	80	13440	50	987.7666	0.140732
381	10	13360	80	3	4	37	1	80	80	13440	54	1244.507	0.177312
382	10	13360	70	3	4	39	1	80	80	13440	57	1479.977	0.210861
383	10	13440	95	3	4	34	0	120	120	13680	48	879.9999	0.125378
384	10	13440	90	3	4	35	0	120	120	13680	50	987.7666	0.140732
385	10	13440	80	3	4	37	1	120	120	13680	54	1244.507	0.177312
386	10	13440	70	3	4	39	1	120	120	13680	57	1479.977	0.210861
389	10	14160	100	3	4	33	1	240	240	14400	47	830.6093	0.118341
390	10	14160	80	3	4	37	1	240	240	14400	54	1244.507	0.177312
391	10	14160	65	3	4	40	1	240	240	14400	59	1661.218	0.236683
392	10	12960	255	3	4	14	0	240	240	13200	14	123.4708	0.017591
393	10	12960	220	3	4	21	0	240	240	13200	26	246.9416	0.035183
394	10	13200	220	3	4	21	0	80	80	13280	26	246.9416	0.035183
395	10	13200	185	3	4	28	0	80	80	13280	38	493.8833	0.070366
396	10	13280	220	3	4	21	0	80	80	13360	26	246.9416	0.035183
397	10	13280	185	3	4	28	0	80	80	13360	38	493.8833	0.070366
398	10	13360	220	3	4	21	0	80	80	13440	26	246.9416	0.035183
399	10	13360	185	3	4	28	0	80	80	13440	38	493.8833	0.070366
400	10	13440	220	3	4	21	0	120	120	13680	26	246.9416	0.035183
401	10	13440	185	3	4	28	0	120	120	13680	38	493.8833	0.070366
402	10	13680	190	3	4	27	1	80	80	13760	37	466.1637	0.066417
403	10	13760	185	3	4	28	0	80	80	13840	38	493.8833	0.070366
404	10	13840	180	3	4	29	1	80	80	13920	40	554.3652	0.078983
405	10	13920	185	3	4	28	0	120	120	14160	38	493.8833	0.070366
406	10	14160	255	3	4	14	0	240	240	14400	14	123.4708	0.017591
407	10	14160	220	3	4	21	0	240	240	14400	26	246.9416	0.035183
410	10	13680	225	3	4	20	1	80	80	13760	25	233.0818	0.033208
411	10	13760	220	3	4	21	0	80	80	13840	26	246.9416	0.035183
412	10	13840	215	3	4	22	1	80	80	13920	28	277.1826	0.039491
413	10	13920	220	3	4	21	0	120	120	14160	26	246.9416	0.035183
415	11	14400	110	3	4	31	0	120	120	14640	43	659.2551	0.093927
416	11	14400	100	3	4	33	1	120	120	14640	47	830.6093	0.118341
417	11	14400	85	3	4	36	1	120	120	14640	52	1108.730	0.157967
418	11	14400	75	3	4	38	0	120	120	14640	55	1318.510	0.187855
419	11	14640	110	3	4	31	0	120	120	14760	43	659.2551	0.093927
420	11	14640	100	3	4	33	1	120	120	14760	47	830.6093	0.118341
421	11	14640	85	3	4	36	1	120	120	14760	52	1108.730	0.157967
422	11	14640	75	3	4	38	0	120	120	14760	55	1318.510	0.187855
423	11	14760	110	3	4	31	0	120	120	14880	43	659.2551	0.093927
424	11	14760	100	3	4	33	1	120	120	14880	47	830.6093	0.118341
425	11	14760	85	3	4	36	1	120	120	14880	52	1108.730	0.157967
426	11	14760	75	3	4	38	0	120	120	14880	55	1318.510	0.187855
427	11	14880	95	3	4	34	0	240	240	15120	48	879.9999	0.125378
428	11	14880	85	3	4	36	1	240	240	15120	52	1108.730	0.157967
429	11	14880	60	3	4	41	0	240	240	15120	60	1760	0.250757
430	11	15120	100	3	4	33	1	240	240	15360	47	830.6093	0.118341
431	11	15120	85	3	4	36	1	240	240	15360	52	1108.730	0.157967
432	11	15120	65	3	4	40	1	240	240	15360	59	1661.218	0.236683
433	11	15360	105	3	4	32	1	240	240	15600	45	739.9888	0.105430
434	11	15360	85	3	4	36	1	240	240	15600	52	1108.730	0.157967
435	11	15360	70	3	4	39	1	240	240	15600	57	1479.977	0.210861
436	11	15600	105	3	4	32	1	240	240	15840	45	739.9888	0.105430
437	11	15600	100	3	4	33	1	240	240	15840	47	830.6093	0.118341
